voter_id,cnic,full_name,age,gender,family_id,station_id
1,1000291535662,Bahaa Ihsaan,52,Female,17,5
2,6000837703705,Ghazanfar Rabb,56,Male,55,7
3,5000462297317,Kasim Rabb,59,Other,48,15
4,5000830301134,Ubaadah Majd Udeen,39,Male,3,19
5,5000446946341,Khaan Jahdami,58,Male,8,8
6,1000165436702,Dabir Rafi,35,Male,63,7
7,5000389301034,Izaaz Awadil,69,Female,53,7
8,1000282318386,Tajammul Maheen,47,Male,7,4
9,1000766925532,Wadee Ubaadah,30,Male,69,15
10,2000740784185,Zaahir Saboor,73,Male,10,15
11,7000926426351,Jafar Nabih,52,Female,2,3
12,7000437902377,Ibraheem Zahri,31,Male,52,2
13,2000710361617,Aasif Zaheer,68,Male,59,10
14,4000991649913,Kawkab Qaasim,31,Male,8,19
15,6000920226986,Qawee Sabiq,55,Male,62,17
16,7000936412821,Tarfaan Qahtan,23,Female,24,3
17,5000249460667,Rahat Zahri,74,Male,73,8
18,5000123754537,Maawiya Rafi,54,Female,67,11
19,3000462711304,Mahdi Baasim,26,Male,39,15
20,3000211562878,Qaadir Kaleema,54,Female,13,3
21,5000494873365,Umar Baasit,40,Male,9,8
22,3000536465528,Zaheer Ubadah,63,Female,39,20
23,7000911312499,Zafeer Yawer,60,Male,14,5
24,3000227957659,Jaafar Ijli,36,Male,78,7
25,6000644157965,Taanish Qabeel,34,Male,7,3
26,6000756419231,Jalil Aalam,67,Male,17,9
27,2000881753959,Ghaazi Zahri,22,Male,20,18
28,1000634846017,Ihtiram Yasir,37,Male,47,2
29,3000451864142,Yafi Maalik,53,Male,53,20
30,6000349717933,Ejlaal Aarif,69,Female,23,14
31,1000365731477,Aashir Umair,73,Female,32,9
32,2000274179851,Qadeer Rohaan,32,Female,26,15
33,3000548184184,Tahawwur Ubadah,30,Male,52,11
34,3000256829406,Tirdad Qadeer,43,Female,69,11
35,1000253824633,Mahdi Rohaan,34,Female,5,4
36,5000767996676,Omran Souma,50,Male,15,13
37,5000452735341,Kareem Nail,18,Female,67,18
38,6000471106227,Maaz Aalam,60,Male,43,20
39,3000260385719,Zaheer Awmar,44,Male,42,13
40,6000531355344,Tahaw-wur Tahaw-wur,42,Male,23,20
41,5000578128109,Ibn Ubaid,37,Female,37,7
42,4000688012078,Nafasat Karam,31,Male,66,16
43,7000324226335,Lateef Zafir,58,Male,80,11
44,1000462079744,Jabir Ilan,27,Female,4,2
45,2000822218548,Majd Udeen Mahfuz,58,Male,74,7
46,6000792942727,Ghiyath Awj,59,Male,1,4
47,7000746715453,Mad Azban,62,Female,67,15
48,1000951808532,Ghufran Karam,69,Male,60,17
49,5000684251499,Nabeel Sabah,53,Male,58,6
50,6000885509175,Tahmaseb Ghanee,71,Female,36,17
51,4000456069808,Yaqeen Jahdami,36,Male,31,9
52,3000623518683,Sabeeh Baashir,42,Male,20,7
53,1000778383826,Aalam Ihab,44,Male,8,7
54,7000775343361,Talib Zahri,66,Female,74,13
55,4000169015335,Aadam Kaleem,72,Female,54,18
56,6000947000258,Kasim Wadi,45,Male,63,1
57,4000677833083,Majeed Ihsaan,26,Female,80,18
58,1000714546962,Ejlaal Wadi,26,Female,60,6
59,1000573603076,Saadat Qahtan,38,Male,44,13
60,3000752324132,Mahad Ayamin,65,Male,70,2
61,3000421512251,Zafir Baashir,33,Female,26,1
62,5000350021203,Zafeer Ali,25,Male,73,7
63,4000571890343,Raheel Awani,65,Female,15,6
